"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Arrivées dans l'hôtellerie - Total - Normandie - Série arrêtée";"001739013";"";"210.05";"252.95";"318.79";"430.0";"478.52";"496.94";"553.78";"575.29";"471.48";"381.35";"280.93";"225.42";"224.29";"275.46";"326.21";"448.95";"442.03";"520.33";"534.66";"558.65";"481.45";"434.63";"298.31";"248.52";"230.49";"260.27";"345.33";"401.51";"473.89";"486.6";"532.59";"568.34";"482.36";"375.39";"312.77";"249.2";"219.4";"245.38";"351.51";"379.81";"487.23";"508.49";"554.7";"621.18";"462.0";"398.62";"305.25";"248.82";"218.51";"258.49";"332.29";"408.01";"469.32";"513.88";"545.25";"603.7";"478.13";"402.91";"294.8";"252.14";"226.31";"267.83";"334.33";"419.33";"491.24";"510.08";"561.99";"595.44";"462.81";"394.98";"281.0";"267.28";"222.23";"275.68";"339.31";"385.68";"476.97";"467.78";"566.39";"583.19";"482.12";"436.88";"307.53";"278.02";"236.71";"285.78";"341.78";"467.25";"477.3";"516.35";"561.67";"587.78";"488.91";"428.25";"325.52";"275.96";"233.22";"280.93";"356.34";"438.42";"508.54";"537.25";"591.24";"634.88";"519.76";"444.21";"332.15";"287.56";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Hauts-de-France - Série arrêtée";"001739025";"";"308.91";"338.58";"403.19";"476.24";"517.69";"526.02";"550.05";"500.03";"517.94";"464.06";"381.4";"366.62";"323.42";"349.97";"416.69";"489.67";"499.26";"566.75";"533.42";"496.43";"513.82";"484.86";"387.7";"367.94";"327.77";"352.58";"425.82";"484.85";"505.14";"554.44";"529.82";"513.61";"526.66";"484.97";"425.44";"398.11";"327.7";"343.58";"441.07";"465.33";"530.16";"545.4";"550.65";"545.12";"516.39";"486.88";"424.53";"384.37";"325.69";"362.28";"426.61";"492.42";"523.5";"552.76";"546.46";"561.16";"536.93";"497.18";"411.38";"391.38";"338.09";"365.83";"427.62";"496.84";"543.17";"550.48";"573.34";"545.17";"545.6";"508.52";"411.97";"398.75";"356.45";"385.26";"448.65";"481.1";"540.77";"567.98";"555.71";"516.77";"516.46";"497.8";"414.32";"409.21";"348.81";"369.33";"446.25";"530.75";"514.27";"549.32";"561.35";"534.56";"540.67";"507.06";"437.63";"429.81";"359.07";"374.16";"446.02";"490.06";"520.41";"561.27";"565.74";"560.16";"551.21";"524.0";"446.96";"418.42";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Grand Est - Série arrêtée";"001739036";"";"389.87";"445.58";"522.0";"627.02";"731.28";"742.97";"804.91";"820.5";"784.25";"692.9";"535.9";"660.96";"420.8";"454.68";"556.73";"661.69";"696.05";"806.67";"849.16";"842.79";"784.77";"714.13";"542.62";"690.24";"423.83";"473.27";"557.48";"640.19";"737.71";"791.47";"836.19";"845.64";"796.53";"709.39";"597.57";"695.32";"428.78";"492.61";"592.8";"650.67";"789.57";"804.07";"880.29";"911.18";"802.97";"732.53";"596.03";"721.16";"453.64";"497.76";"555.51";"684.2";"760.52";"821.09";"856.27";"924.01";"789.49";"736.06";"568.85";"751.89";"438.13";"504.0";"562.5";"673.02";"808.54";"799.62";"884.32";"919.46";"804.34";"743.29";"561.35";"724.49";"437.57";"532.76";"625.96";"665.36";"797.44";"786.18";"903.15";"880.46";"798.21";"781.79";"597.16";"764.91";"468.4";"536.22";"613.25";"757.8";"783.88";"847.89";"955.8";"954.6";"848.94";"786.16";"643.62";"796.0";"495.77";"543.6";"647.93";"716.62";"816.68";"855.59";"928.82";"967.97";"862.68";"800.69";"664.09";"786.71";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Pays de la Loire - Série arrêtée";"001711118";"";"207.7";"218.23";"287.74";"312.64";"347.41";"404.49";"398.14";"414.59";"379.83";"300.38";"264.68";"229.67";"232.07";"245.47";"282.61";"332.04";"353.01";"447.92";"421.6";"423.6";"399.32";"334.5";"266.48";"239.97";"241.18";"244.76";"316.64";"318.77";"355.52";"427.13";"410.74";"437.78";"394.54";"315.18";"280.91";"231.09";"230.21";"235.69";"290.05";"304.53";"371.3";"409.55";"406.04";"452.33";"371.28";"316.32";"264.46";"221.73";"223.29";"238.01";"269.09";"321.45";"350.2";"431.07";"405.84";"464.87";"397.75";"311.95";"260.53";"234.48";"227.61";"238.5";"294.5";"341.59";"389.15";"438.57";"456.37";"492.82";"411.35";"334.36";"268.11";"244.87";"240.38";"259.3";"320.11";"360.78";"408.54";"442.86";"507.12";"507.55";"430.43";"363.93";"302.29";"266.45";"250.58";"256.07";"321.36";"398.7";"403.65";"465.87";"490.01";"504.89";"452.73";"372.42";"315.05";"284.97";"259.38";"277.22";"329.34";"383.61";"418.41";"488.83";"494.94";"550.64";"455.03";"385.2";"311.19";"269.35";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Bretagne - Série arrêtée";"001711106";"";"170.45";"203.79";"264.82";"344.17";"398.96";"406.05";"434.23";"525.06";"411.26";"311.34";"237.25";"198.44";"184.76";"221.02";"282.57";"371.97";"381.24";"464.97";"465.46";"536.03";"425.96";"357.02";"254.83";"211.61";"210.8";"227.98";"304.64";"361.9";"420.44";"438.64";"457.83";"526.54";"446.36";"323.69";"269.69";"224.28";"197.3";"216.37";"289.27";"334.23";"431.21";"425.77";"453.56";"585.16";"430.38";"343.18";"274.18";"226.82";"204.5";"233.61";"275.23";"356.6";"409.81";"441.28";"467.77";"580.78";"442.4";"356.36";"264.12";"235.48";"209.16";"246.41";"310.91";"362.76";"435.97";"452.66";"504.26";"581.52";"464.37";"362.21";"264.96";"250.3";"221.5";"272.2";"328.24";"368.75";"435.71";"449.21";"507.94";"568.41";"463.41";"398.16";"282.31";"261.98";"228.56";"265.48";"329.11";"416.44";"431.04";"465.96";"509.59";"590.01";"462.25";"388.99";"296.28";"261.62";"231.46";"257.27";"325.43";"377.36";"457.64";"470.2";"510.08";"602.8";"494.02";"386.79";"298.17";"260.27";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Nouvelle-Aquitaine - Série arrêtée";"001739048";"";"379.49";"457.31";"567.07";"730.62";"793.95";"829.43";"1042.82";"1201.11";"858.32";"686.12";"513.14";"456.15";"404.5";"470.68";"603.97";"789.97";"812.82";"948.04";"1100.05";"1236.82";"910.14";"758.41";"530.95";"461.17";"412.34";"468.02";"606.01";"741.62";"829.26";"880.78";"1085.77";"1267.19";"923.98";"719.26";"561.48";"475.14";"429.22";"468.16";"627.77";"704.79";"851.52";"861.34";"1064.79";"1322.06";"887.35";"739.26";"544.84";"484.11";"430.83";"458.84";"600.53";"716.52";"815.17";"892.35";"1060.21";"1310.56";"892.63";"731.33";"511.2";"501.52";"426.55";"496.86";"602.42";"768.85";"865.65";"914.95";"1138.54";"1348.71";"930.74";"763.89";"525.64";"528.52";"439.88";"528.48";"638.8";"756.03";"862.82";"892.19";"1228.1";"1355.28";"921.54";"851.52";"564.89";"552.82";"464.89";"574.85";"657.13";"883.22";"872.41";"941.82";"1238.63";"1369.63";"971.67";"819.09";"585.77";"550.89";"480.4";"512.12";"702.39";"779.05";"879.5";"941.06";"1145.79";"1366.73";"991.56";"852.37";"610.75";"552.13";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Occitanie - Série arrêtée";"001739060";"";"389.47";"461.73";"542.73";"753.26";"898.14";"919.03";"1172.03";"1339.38";"966.01";"735.72";"482.44";"436.05";"416.2";"458.14";"526.29";"730.02";"836.26";"974.43";"1210.44";"1318.79";"971.35";"770.85";"471.27";"427.53";"413.03";"456.41";"566.06";"748.63";"870.69";"953.93";"1180.55";"1318.89";"1005.58";"746.07";"500.48";"452.03";"392.72";"431.16";"571.41";"684.81";"872.84";"923.01";"1110.05";"1316.6";"937.5";"705.06";"482.6";"442.42";"412.43";"459.32";"536.53";"700.96";"837.99";"886.06";"1047.78";"1295.39";"911.84";"711.13";"448.52";"446.86";"418.1";"452.68";"533.02";"697.79";"890.33";"874.85";"1110.78";"1266.91";"948.46";"733.63";"475.77";"455.87";"414.16";"496.81";"594.65";"698.01";"844.33";"905.22";"1149.0";"1273.35";"912.82";"754.04";"507.39";"488.97";"433.85";"482.45";"552.89";"778.85";"824.49";"907.99";"1112.06";"1266.7";"970.74";"773.13";"512.15";"520.94";"452.22";"487.53";"630.09";"732.07";"859.76";"941.02";"1100.73";"1294.98";"974.74";"798.31";"528.63";"510.5";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Auvergne-Rhône-Alpes - Série arrêtée";"001739072";"";"793.07";"918.92";"971.8";"932.56";"965.39";"1088.03";"1368.41";"1293.48";"1038.79";"843.42";"681.51";"790.03";"854.82";"939.39";"1010.12";"958.88";"927.86";"1170.27";"1437.59";"1363.14";"1089.99";"922.23";"738.33";"865.76";"874.53";"998.59";"1106.2";"890.67";"949.44";"1161.93";"1403.92";"1368.37";"1104.49";"913.15";"771.97";"900.16";"912.23";"1005.98";"1211.11";"949.82";"1041.68";"1228.47";"1460.51";"1494.2";"1127.67";"961.45";"795.58";"914.37";"851.0";"1012.02";"1098.49";"932.8";"944.63";"1127.74";"1301.46";"1457.16";"1077.19";"942.43";"731.34";"956.09";"923.12";"1102.86";"1108.46";"975.1";"1038.16";"1183.59";"1471.08";"1491.37";"1107.53";"937.81";"753.34";"902.45";"902.03";"1140.8";"1163.6";"1019.58";"1075.57";"1199.19";"1513.48";"1449.86";"1148.43";"1025.45";"799.07";"930.29";"944.93";"1119.72";"1141.46";"1042.84";"1048.61";"1267.5";"1552.28";"1519.82";"1208.25";"1006.53";"829.7";"973.81";"906.77";"1063.53";"1236.86";"1015.19";"1075.07";"1274.86";"1529.48";"1543.9";"1225.84";"1041.71";"850.77";"971.16";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Provence-Alpes-Côte d'Azur - Série arrêtée";"001711121";"";"517.93";"575.7";"684.83";"892.04";"1040.52";"1100.02";"1275.21";"1335.65";"1086.78";"796.11";"526.29";"492.06";"491.7";"552.27";"709.06";"901.39";"1026.69";"1207.44";"1413.61";"1407.81";"1163.9";"889.4";"546.9";"520.13";"516.17";"576.36";"751.24";"925.13";"1025.43";"1165.42";"1377.32";"1432.66";"1147.49";"876.26";"571.18";"518.55";"500.81";"552.36";"741.5";"841.06";"1125.7";"1254.0";"1394.09";"1509.3";"1174.36";"890.66";"580.17";"527.3";"514.55";"575.37";"734.5";"922.73";"1091.65";"1196.94";"1284.47";"1460.15";"1092.65";"863.54";"535.81";"525.41";"509.55";"596.06";"700.82";"913.87";"1118.8";"1210.61";"1349.6";"1475.3";"1144.11";"895.43";"556.28";"524.23";"532.98";"616.73";"805.08";"899.47";"1087.62";"1224.92";"1387.14";"1386.74";"1110.35";"894.57";"588.51";"574.28";"546.15";"603.9";"763.22";"1048.57";"1108.73";"1224.23";"1431.51";"1467.97";"1169.83";"948.65";"623.19";"574.44";"566.75";"623.97";"797.77";"914.49";"1065.35";"1264.92";"1438.63";"1513.05";"1194.62";"907.01";"626.79";"593.89";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Corse - Série arrêtée";"001711109";"";"16.91";"21.89";"29.19";"91.45";"194.91";"216.28";"198.71";"206.02";"209.42";"87.18";"24.84";"21.34";"18.1";"21.6";"30.62";"96.01";"189.18";"209.44";"189.35";"221.3";"217.32";"95.87";"24.55";"21.14";"18.86";"21.86";"33.31";"99.0";"188.48";"205.64";"186.03";"229.92";"235.45";"96.61";"34.56";"24.62";"17.51";"20.43";"34.62";"84.36";"197.56";"217.86";"205.28";"245.35";"235.19";"94.27";"28.19";"24.52";"18.97";"19.09";"30.87";"85.39";"193.48";"212.9";"186.58";"232.97";"223.18";"94.27";"23.08";"22.07";"16.46";"18.7";"27.02";"78.1";"194.6";"211.66";"197.24";"239.83";"230.59";"101.0";"25.38";"20.86";"16.27";"20.42";"28.95";"82.24";"187.41";"212.11";"210.29";"238.97";"238.76";"109.66";"26.95";"22.22";"17.47";"20.7";"31.33";"109.57";"184.05";"227.06";"209.48";"248.54";"261.91";"117.21";"28.83";"21.72";"16.94";"20.59";"31.15";"97.58";"196.86";"231.99";"216.21";"247.29";"254.36";"113.11";"27.69";"21.78";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Non-résidents - Départements d'outre-mer – Série arrêtée";"001717311";"";"11.0";"9.17";"13.21";"8.1";"9.53";"7.98";"8.76";"10.82";"11.14";"13.64";"15.5";"11.79";"12.14";"11.96";"12.15";"11.81";"7.81";"7.0";"10.36";"10.16";"12.03";"12.7";"10.15";"13.52";"10.19";"9.02";"7.62";"8.57";"8.63";"5.87";"8.51";"9.1";"8.5";"13.5";"13.9";"12.02";"11.23";"10.61";"10.32";"10.63";"10.94";"7.97";"9.15";"11.44";"10.34";"10.27";"13.56";"14.56";"13.85";"12.05";"11.45";"16.99";"11.59";"8.96";"11.67";"10.57";"8.53";"14.47";"16.33";"16.13";"11.89";"13.05";"16.34";"13.96";"13.89";"10.23";"10.9";"13.92";"14.55";"13.77";"13.16";"14.05";"15.78";"14.52";"17.09";"12.94";"9.69";"9.33";"9.23";"9.7";"9.92";"13.46";"14.72";"16.78";"18.2";"16.4";"17.39";"16.43";"13.01";"9.86";"13.07";"16.3";"12.67";"14.97";"21.36";"21.86";"19.6";"19.89";"19.58";"15.06";"15.0";"10.87";"15.39";"16.01";"13.94";"16.62";"19.59";"18.75";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Non-résidents - France métropolitaine et Départements d'outre-mer - Série arrêtée";"001717314";"";"1292.55";"1433.35";"1854.43";"2425.54";"2947.39";"3174.86";"4101.21";"4054.17";"3322.85";"2479.92";"1578.85";"1671.34";"1399.02";"1443.64";"1943.28";"2625.64";"2803.59";"3391.19";"4322.16";"4125.03";"3343.04";"2571.28";"1632.87";"1749.14";"1495.89";"1524.66";"2039.92";"2576.63";"2989.39";"3390.53";"4273.48";"4153.99";"3393.84";"2672.7";"1708.25";"1792.76";"1422.77";"1632.9";"2258.38";"2482.07";"3323.06";"3662.65";"4536.42";"4650.97";"3558.74";"2760.7";"1776.16";"2002.38";"1543.53";"1671.08";"2096.51";"2868.46";"3217.0";"3628.25";"4452.84";"4770.83";"3499.97";"2842.31";"1743.96";"2058.8";"1587.69";"1742.57";"2150.47";"2802.1";"3383.12";"3675.26";"4875.95";"4889.02";"3638.76";"2877.31";"1721.36";"1752.07";"1470.56";"1677.71";"2344.95";"2450.62";"3171.03";"3685.5";"4628.55";"4224.56";"3388.91";"2719.45";"1837.17";"2047.43";"1736.2";"1795.45";"2265.99";"3123.69";"3198.11";"3843.8";"4799.83";"4648.93";"3799.58";"3005.24";"2030.21";"2311.84";"1858.0";"2009.89";"2766.49";"3078.05";"3568.0";"4047.95";"5085.71";"5013.3";"3981.5";"3234.02";"2235.47";"2300.7";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Non-résidents - France métropolitaine - Série arrêtée";"001711169";"";"1281.55";"1424.18";"1841.22";"2417.43";"2937.86";"3166.88";"4092.45";"4043.36";"3311.7";"2466.28";"1563.35";"1659.55";"1386.89";"1431.68";"1931.13";"2613.83";"2795.79";"3384.19";"4311.81";"4114.87";"3331.01";"2558.58";"1622.72";"1735.62";"1485.7";"1515.63";"2032.3";"2568.06";"2980.76";"3384.66";"4264.97";"4144.88";"3385.33";"2659.19";"1694.35";"1780.75";"1411.53";"1622.29";"2248.06";"2471.45";"3312.12";"3654.68";"4527.27";"4639.53";"3548.4";"2750.44";"1762.59";"1987.82";"1529.69";"1659.03";"2085.05";"2851.47";"3205.41";"3619.29";"4441.17";"4760.26";"3491.44";"2827.84";"1727.63";"2042.67";"1575.8";"1729.53";"2134.13";"2788.14";"3369.23";"3665.03";"4865.05";"4875.11";"3624.21";"2863.55";"1708.2";"1738.02";"1454.78";"1663.19";"2327.86";"2437.68";"3161.35";"3676.17";"4619.32";"4214.87";"3378.99";"2705.98";"1822.45";"2030.65";"1718.0";"1779.05";"2248.6";"3107.26";"3185.09";"3833.94";"4786.76";"4632.62";"3786.91";"2990.27";"2008.85";"2289.98";"1838.4";"1990.0";"2746.9";"3063.0";"3553.0";"4037.08";"5070.33";"4997.29";"3967.55";"3217.39";"2215.88";"2281.95";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
